composer	composer_first	work_group	work_catalogue	opus	no	mov	title	composition	publication	source	display_year	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Beethoven	Ludwig van	Piano Sonatas	Op.	14	2	1.0	Piano Sonata No. 10	1799.0		MS	1799.0	0	0	0	0	0	0	0	0	0	0	1	31	93	114	98	258	403	552	349	214	242	225	104	42	21	19	6	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	14	2	2.0	Piano Sonata No. 10	1799.0		MS	1799.0	0	0	0	0	0	0	0	0	0	0	0	7	4	35	190	245	342	202	118	163	133	28	35	7	4	3	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	14	2	3.0	Piano Sonata No. 10	1799.0		MS	1799.0	0	0	0	0	0	0	0	0	0	0	0	8	3	18	72	282	394	356	237	201	227	140	43	18	21	12	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	8			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	37	47	39	48	86	76	56	17	0	22	10	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	22		1.0	Piano Sonata No. 11	1800.0		MS	1800.0	0	0	0	0	0	0	0	2	6	35	111	61	284	657	650	463	339	474	422	217	63	46	42	16	4	5	4	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	22		2.0	Piano Sonata No. 11	1800.0		MS	1800.0	0	0	0	0	0	0	0	7	35	51	35	213	402	453	237	148	308	188	67	33	38	16	16	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	22		3.0	Piano Sonata No. 11	1800.0		MS	1800.0	0	0	0	0	0	0	0	0	8	4	0	18	70	112	85	70	96	135	86	14	10	30	23	1	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	22		4.0	Piano Sonata No. 11	1800.0		MS	1800.0	0	0	0	0	0	0	0	1	11	68	94	128	361	664	866	455	271	399	337	95	80	29	42	14	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	81a		1.0	Piano Sonata No. 26	1810.0		MS	1810.0	0	0	0	0	0	0	0	6	58	58	44	229	388	582	381	323	301	223	103	30	33	15	2	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	81a		2.0	Piano Sonata No. 26	1810.0		MS	1810.0	0	0	0	0	0	0	0	0	0	5	32	56	44	67	92	135	136	98	86	56	40	45	7	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	81a		3.0	Piano Sonata No. 26	1810.0		MS	1810.0	0	0	0	0	0	0	0	0	45	95	74	253	590	770	489	328	550	346	114	68	42	90	21	32	20	7	0	3	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	101		1.0	Piano Sonata No. 28	1816.0		MS	1816.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	26	8	20	98	238	323	255	153	177	180	73	20	12	18	3	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	101		2.0	Piano Sonata No. 28	1816.0		MS	1816.0	0	0	0	0	0	0	0	0	0	18	42	38	66	180	284	334	228	109	176	122	36	20	12	7	1	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	101		3.0	Piano Sonata No. 28	1816.0		MS	1816.0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	29	54	59	57	66	137	65	38	21	40	30	4	0	0	3	0	0	0	0	0	0
Koželuh	Leopold	Piano Sonata	Op.	10	1	1	Allegro molto	1784.0		DB	1784.0	0	0	0	0	0	0	0	0	17	42	55	211	522	577	473	386	371	357	155	81	79	33	3	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	101		4.0	Piano Sonata No. 28	1816.0		MS	1816.0	0	0	0	0	0	0	0	0	0	0	0	1	1	40	127	204	199	402	750	828	547	328	329	365	67	2	1	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	878	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	12	100	178	141	140	125	133	114	31	7	25	3	0	0	0	0	0	0
