composer	composer_first	work_group	work_catalogue	opus	no	mov	title	composition	publication	source	display_year	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Rachmaninoff	Sergei	10 Préludes	Op.	23	5			1903.0		MS	1903.0	0	0	0	0	0	0	0	0	0	0	0	29	265	617	184	266	665	886	488	94	24	292	65	8	4	0	0	0	0	0	0	0	0	0	0
Rachmaninoff	Sergei	10 Préludes	Op.	23	6			1903.0		MS	1903.0	0	0	0	0	0	0	0	3	20	5	38	132	206	206	133	164	189	92	46	33	22	31	5	0	0	0	0	0	0	0	0	0	0	0	0
Rachmaninoff	Sergei	10 Préludes	Op.	23	7			1903.0		MS	1903.0	0	0	0	0	0	0	0	0	11	23	83	189	219	114	229	225	323	163	41	58	126	72	26	0	0	0	0	0	0	0	0	0	0	0	0
Rachmaninoff	Sergei	10 Préludes	Op.	23	8			1903.0		MS	1903.0	0	0	0	0	0	0	11	45	23	61	286	408	360	242	281	398	236	85	82	69	67	40	4	8	0	0	0	0	0	0	0	0	0	0	0
Rachmaninoff	Sergei	10 Préludes	Op.	23	9			1903.0		MS	1903.0	0	0	0	0	0	11	4	31	189	234	126	209	307	300	164	52	81	139	54	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyapunov	Sergei Mikhailovich	7 Preludes	Op.	6	1			1896.0		MS	1896.0	0	0	0	0	0	2	0	6	14	44	53	48	83	172	159	53	72	119	68	38	12	13	10	4	2	0	0	0	0	0	0	0	0	0	0
Lyapunov	Sergei Mikhailovich	7 Preludes	Op.	6	3			1896.0		MS	1896.0	0	0	0	0	0	4	4	9	31	49	38	32	75	115	50	28	8	7	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyapunov	Sergei Mikhailovich	7 Preludes	Op.	6	6			1896.0		MS	1896.0	0	0	0	0	0	0	2	6	6	21	39	105	60	59	99	129	68	22	2	26	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Rachmaninoff	Sergei	10 Préludes	Op.	23	3			1903.0		MS	1903.0	0	0	0	0	0	0	0	0	0	0	0	8	44	191	288	110	233	329	353	188	15	17	129	31	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe						Prenez sur moi	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	62	70	77	68	54	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe						Presque transi	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	101	81	65	81	84	54	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Dufay	Guillaume						Proles de celo prodiit	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	38	37	47	73	47	32	1	1	4	0	0	0	0	0	0	0	0	0	0	0
Mussorgsky	Modest	Pictures at an Exhibition					Promenade I		1874.0	MS	1874.0	0	0	0	0	0	0	0	0	0	18	12	33	36	94	153	94	99	61	61	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mussorgsky	Modest	Pictures at an Exhibition					Promenade II		1874.0	MS	1874.0	0	0	0	0	0	0	0	0	0	0	11	28	53	43	28	25	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mussorgsky	Modest	Pictures at an Exhibition					Promenade III		1874.0	MS	1874.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	19	45	30	21	23	10	9	0	0	0	0	0	0	0	0
Mussorgsky	Modest	Pictures at an Exhibition					Promenade IV		1874.0	MS	1874.0	0	0	0	0	0	0	0	0	0	0	1	2	0	33	22	15	19	25	60	32	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Mussorgsky	Modest	Pictures at an Exhibition					Promenade V		1874.0	MS	1874.0	0	0	0	0	0	0	0	0	0	24	17	36	40	111	147	99	101	72	69	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Dufay	Guillaume						Puisque celle qui me tient en prison	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	3	5	14	48	43	26	19	29	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monteverdi	Claudio						Pulchrae sunt / Ferrir quel pretto		1607.0	ELVIS	1607.0	0	0	0	0	0	0	0	0	0	0	0	0	35	130	145	143	233	267	150	98	24	25	12	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe						Qu'es mi vida preguntays	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	90	75	88	95	114	66	34	1	6	1	0	0	0	0	0	0	0	0	0	0	0
Busnoys	Antoine						Quant ce viendra au droit destraindre	1480.0		ELVIS	1480.0	0	0	0	0	0	0	0	0	0	0	0	0	2	55	33	30	89	52	51	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Busnoys	Antoine						Quant ce viendra au droit destraindre	1475.0		ELVIS	1475.0	0	0	0	0	0	0	0	0	0	0	0	0	7	65	48	43	121	88	62	24	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe						Quant de vous seul	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	47	43	37	61	66	32	18	0	2	2	0	0	0	0	0	0	0	0	0	0	0
Dufay	Guillaume						Quel fronte signorille in paradiso	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	16	39	53	29	24	27	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Monteverdi	Claudio						Qui pependit in cruce / Ecce Silvio		1607.0	ELVIS	1607.0	0	0	0	0	0	0	0	0	0	0	0	0	23	80	98	129	164	192	144	78	31	23	21	5	0	0	0	0	0	0	0	0	0	0	0
Lasso	Orlando di						Qui sequitur me		1577.0	ELVIS	1577.0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	45	35	33	35	58	26	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Lasso	Orlando di						Qui vult venire post me		1577.0	ELVIS	1577.0	0	0	0	0	0	0	0	0	0	0	0	0	4	35	52	34	38	30	51	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vaughan Williams	Ralph	Four Poems by Fredegond Shove				2	Four Nights	1925.0		MS	1925.0	0	0	0	0	0	0	1	4	26	37	28	82	111	182	184	163	182	113	5	10	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Vaughan Williams	Ralph	Four Poems by Fredegond Shove				1	Motion and Stillness	1925.0		MS	1925.0	0	0	0	0	0	0	0	33	1	2	30	72	10	28	30	57	18	4	12	14	11	2	9	3	6	0	0	0	0	0	0	0	0	0	0
Vaughan Williams	Ralph	Four Poems by Fredegond Shove				3	The New Ghost	1925.0		MS	1925.0	0	0	0	0	0	0	0	29	3	24	49	36	67	76	180	102	123	197	195	54	128	54	9	4	0	0	0	0	0	0	0	0	0	0	0
Vaughan Williams	Ralph	Four Poems by Fredegond Shove				4	The Water Mill	1925.0		MS	1925.0	0	0	0	0	0	0	0	0	0	1	2	4	18	77	101	163	285	235	194	300	122	49	48	4	0	4	0	0	0	0	0	0	0	0	0
Rameau	Jean Philippe	Suite	RCT	5			Gavotte et six doubles (Sixième double)	1727.0		MS	1727.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	54	34	38	62	71	16	1	0	8	0	0	0	0	0	0	0	0	0	0	0
Rameau	Jean Philippe	Nouvelles suites de pièces de clavecin	RCT	6	5		Menuet	1727.0		MS	1727.0	0	0	0	0	0	0	0	0	0	0	0	0	13	41	4	29	50	51	35	12	2	23	1	0	0	0	0	0	0	0	0	0	0	0	0
Ravel	Maurice	Mirroirs	M.		1		Noctuelles	1904.0		MS	1904.0	0	0	0	0	0	0	2	40	60	158	222	193	261	341	415	248	233	138	156	69	87	88	50	27	37	22	13	1	0	1	2	0	0	0	0
Ravel	Maurice	Mirroirs	M.	43	3			1904.0		MS	1904.0	0	0	0	0	0	0	0	21	25	2	169	118	277	211	159	135	308	253	847	429	294	483	435	396	124	80	53	5	39	0	0	0	0	0	0
Victoria	TomasLuisde						Recessit pastor noster		1585.0	ELVIS	1585.0	0	0	0	0	0	0	0	0	0	23	2	0	24	71	57	74	156	129	66	39	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gesualdo	Carlo	Responses of Tenebrae Responsorium			4		Recessit pastor noster		1611.0	CPDL	1611.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	50	75	74	82	94	111	66	19	15	12	4	0	2	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		3		Nach Sevilla			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	34	70	67	16	26	41	12	0	1	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	1		Sehnsucht nach dem Vaterlande			OSLC	1802.5	0	0	0	0	0	0	0	0	0	6	1	20	61	78	35	27	40	25	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	2		Frühlingslied			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	14	30	86	113	22	56	74	29	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	3a		Geistliches Lied			OSLC	1802.5	0	0	0	0	0	0	0	1	0	10	40	39	21	18	22	16	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	3b		Geistliches Lied			OSLC	1802.5	0	0	0	0	0	0	0	1	0	9	33	39	22	14	21	15	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	4		Bergmannslied			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	15	45	23	27	50	72	28	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	5		Noch ein Bergmannslied			OSLC	1802.5	0	0	0	0	0	0	0	0	1	1	0	7	32	22	3	9	15	6	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Sechs Lieder von Novalis	Op.	4	6		Er besucht den Klostergarten			OSLC	1802.5	0	0	0	0	0	0	0	0	0	10	8	6	41	64	42	20	48	25	19	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		10		Ida (aus Ariels Offenbarungen)			OSLC	1802.5	0	0	0	0	0	0	0	1	59	84	64	85	170	140	58	16	25	26	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		11		Aus Tiecks Genoveva			OSLC	1802.5	0	0	0	0	0	0	0	0	0	1	17	27	6	16	31	31	17	1	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		12		Heymdal			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	37	57	16	10	24	17	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		1		Frühlingslied			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	14	22	59	75	15	35	47	17	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		2		Wenn ich ihn nur habe			OSLC	1802.5	0	0	0	0	0	0	0	1	0	10	40	39	21	18	22	16	9	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		3		Durch die bunten Rosenhecken			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	16	27	0	20	44	34	27	3	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		4		Wohle dem Mann			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	18	25	44	18	0	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		5		Poesia di Metastasio I			OSLC	1802.5	0	0	0	0	0	0	0	0	8	39	108	24	73	123	147	73	1	6	36	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		6		Notturno			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	119	188	90	23	79	44	17	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		7		Poesia di Metastasio II			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	39	107	140	71	30	65	35	16	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		8		Poesie von Tieck			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	103	175	73	24	69	50	19	0	3	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Deutsche und Italiänische Romantische Gesänge	Op.		9		Aus Ariels Offenbarungen			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	4	2	31	66	63	38	12	35	23	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		10		Die Veilchen			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	38	48	39	19	31	18	5	4	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		11		Daphne am Bach			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	19	53	46	36	8	37	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		12		Aus Novalis Hymnen der Nacht			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	6	112	252	290	110	94	155	102	12	9	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		1		Erinnrung am Bach			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	43	47	17	4	52	12	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		2		Der Sänger geht			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	41	100	136	49	10	37	39	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		4		Vaters Klage			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	5	11	15	0	11	35	42	13	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		5		Für die Laute componirt			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	8	40	33	6	0	13	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		6		Unruhiger Schlaf			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	29	38	67	38	43	57	35	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		7		Volkslied			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	15	31	28	5	11	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		8		Ein recht Gemüth			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	19	52	46	18	20	35	28	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.		9		Der Spinnerin Nachtlied			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	3	29	0	5	36	39	16	3	0	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	10		Der Mond			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	23	56	91	40	1	53	20	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	11		An Maria (aus Novalis geistlichen Liedern)			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	5	25	40	58	37	24	28	21	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	12		Duettino			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	120	209	143	64	72	76	44	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	1		Frühlingsblumen			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	56	56	21	3	39	14	5	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	2		Der traurige Wanderer			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	17	57	76	21	10	21	17	4	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	3		Die Blume der Blumen			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	26	79	80	44	13	39	28	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	4		Wachtelwacht			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	12	54	95	56	24	39	44	9	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	5		Betteley der Vögel			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	69	94	38	10	62	27	2	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	6		Kriegslied des Mays			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	49	51	41	10	33	17	3	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	7		Die Wiese			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	29	12	20	43	43	15	0	5	13	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	8		Kaeuzlein			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	11	27	4	17	36	37	16	4	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0
Reichardt	Louise	Zwölf Gesänge	Op.	3	9		Hier liegt ein Spielmann begraben			OSLC	1802.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	111	126	40	8	47	28	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe	Requiem					Graduale	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	2	54	133	126	167	171	201	93	50	7	5	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe	Requiem					Introitus	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	119	77	52	64	84	50	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe	Requiem					Kyrie	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	7	60	112	80	110	71	79	62	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe	Requiem					Offertorium	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	167	176	163	294	251	186	96	2	18	1	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe	Requiem					Tract	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	2	61	162	230	263	118	201	107	79	16	0	2	0	0	0	0	0	0	0	0	0	0	0
Dufay	Guillaume						Resistera	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	63	57	52	73	88	44	46	2	4	5	0	0	0	0	0	0	0	0	0	0	0
Dufay	Guillaume						Resvelons nous, resvelons, amoureux	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	19	28	19	16	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Debussy	Claude		L.	68			Rêverie	1890.0		MS	1890.0	0	0	0	0	0	0	0	0	0	0	0	0	45	115	136	166	192	165	171	144	64	29	38	38	13	1	0	0	0	0	0	0	0	0	0
Mozart	Wolfgang Amadeus	Requiem (Franz Beyer)	KV	626			Rex tremendae		1791.0	KPM	1791.0	0	0	0	0	0	0	0	0	0	0	0	3	77	132	131	120	190	200	209	71	2	23	25	0	0	0	0	0	0	0	0	0	0	0	0
Vitry	Philippede						Rex quem metrorum		1361.0	ELVIS	1361.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	85	87	123	118	96	118	58	14	9	2	0	0	0	0	0	0	0	0	0	0	0
Bartók	Béla	Romanian Folk Dances	Sz.	56		1.0		1915.0		MS	1915.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	74	29	53	76	58	42	14	8	4	5	0	0	0	0	0	0	0	0	0	0
Bartók	Béla	Romanian Folk Dances	Sz.	56		2.0		1915.0		MS	1915.0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	20	8	23	27	23	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartók	Béla	Romanian Folk Dances	Sz.	56		3.0		1915.0		MS	1915.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	55	8	2	51	52	66	14	0	0	46	0	0	0	0	0	0	0	0
Bartók	Béla	Romanian Folk Dances	Sz.	56		4.0		1915.0		MS	1915.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	9	11	31	37	36	1	1	21	1	0	10	0	0	0	0	0	0	0	0	0
Bartók	Béla	Romanian Folk Dances	Sz.	56		5.0		1915.0		MS	1915.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	40	110	59	30	49	44	24	16	3	0	0	0	0	0	0	0	0	0	0
Bartók	Béla	Romanian Folk Dances	Sz.	56		6.0		1915.0		MS	1915.0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	32	113	140	77	117	116	30	66	37	13	0	12	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin		Op.	12a	1		Rondo Chromatique	1833.0		MS	1833.0	0	0	0	0	0	0	0	0	0	0	0	15	14	41	76	194	481	835	591	784	890	1305	947	319	394	587	163	96	18	9	1	0	0	0	0
Rameau	Jean Philippe	Les Indes Galantes					Rondeau	1735.0		MS	1735.0	0	0	0	0	0	0	0	0	0	0	0	0	35	88	46	48	91	107	71	19	10	21	10	3	0	0	0	0	0	0	0	0	0	0	0
Strauss	Richard	Lieder	Op.	27	1		Ruhe, meine Seele	1894.0		MS	1894.0	0	0	0	0	0	0	0	0	0	6	13	22	29	43	44	78	67	27	42	30	27	36	24	14	7	8	5	1	0	0	0	0	0	0	0
Ockeghem	JeanDe						S'elle m'amera	1497.0		ELVIS	1497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	37	37	36	45	72	65	17	0	3	1	0	0	0	0	0	0	0	0	0	0	0
Ockeghem	JeanDe						S'elle m'amera	1475.0		ELVIS	1475.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	38	36	36	52	72	63	18	0	5	1	0	0	0	0	0	0	0	0	0	0	0
Elgar	Edward		Op.	12			Salut d'Amour	1888.0		MS	1888.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	40	42	39	137	239	199	129	73	116	53	8	11	8	2	2	0	0	0	0	0
Alkan	Charles Valentin		Op.	23			Sartarelle		1844.0	MS	1844.0	0	0	0	0	0	0	0	0	0	1	0	4	2	12	56	250	415	264	406	932	824	511	179	144	269	145	7	2	1	3	1	0	0	0	0
Dufay	Guillaume						Salve flos Tusce	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	180	156	107	278	291	177	37	3	16	5	0	0	0	0	0	0	0	0	0	0	0
Lasso	Orlando di						Salve regina		1582.0	ELVIS	1582.0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	74	74	96	148	144	77	28	22	22	7	0	0	0	0	0	0	0	0	0	0	0
Mussorgsky	Modest	Pictures at an Exhibition					Samuel Goldenberg und Schmuyle		1874.0	MS	1874.0	0	0	0	0	0	34	48	40	8	90	348	100	16	48	66	28	0	2	28	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lasso	Orlando di						Sancti mei		1577.0	ELVIS	1577.0	0	0	0	0	0	0	0	0	0	0	0	0	8	33	51	38	38	39	46	29	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Monteverdi	Claudio						Sancta Maria / Deh bella e cara		1607.0	ELVIS	1607.0	0	0	0	0	0	0	0	0	0	0	0	0	11	84	101	77	111	149	110	29	9	26	2	0	0	0	0	0	0	0	0	0	0	0	0
Mozart	Wolfgang Amadeus	Requiem (Franz Beyer)	KV	626			Sanctus		1791.0	KPM	1791.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	123	248	308	173	110	180	121	20	11	5	0	0	0	0	0	0	0	0	0
Satie	Erik	Gnossiennes			1				1893.0	MS	1893.0	0	0	0	0	0	0	0	0	0	0	0	26	1	28	38	51	48	43	44	54	55	10	19	2	6	16	0	0	0	0	0	0	0	0	0
Satie	Erik	Gnossiennes			2				1893.0	MS	1893.0	0	0	0	0	0	0	0	0	0	0	36	218	17	92	370	285	170	112	123	180	177	55	39	7	22	34	0	0	0	0	0	0	0	0	0
Satie	Erik	Gnossiennes			3				1893.0	MS	1893.0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	36	62	50	55	79	112	106	45	20	5	16	18	0	0	0	0	0	0	0	0	0
Satie	Erik	Gnossiennes			4			1891.0	1968.0	MS	1891.0	0	0	0	0	0	0	0	0	0	0	0	0	23	8	68	44	60	103	119	37	57	31	10	9	2	8	0	0	0	0	0	0	0	0	0
Satie	Erik	Gnossiennes			5			1889.0		MS	1889.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	44	91	124	96	129	115	86	32	24	0	0	0	0	0	0	0	0	0	0	0
Satie	Erik	Gnossiennes			6			1897.0		MS	1897.0	0	0	0	0	0	0	0	1	0	4	4	8	20	9	34	51	39	38	58	49	46	35	30	32	21	10	6	1	2	0	0	0	0	0	0
Satie	Erik	Gnossiennes			7			1891.0		MS	1891.0	0	0	0	0	0	0	0	0	0	0	2	23	6	14	57	81	99	99	73	173	129	48	47	9	22	24	0	0	0	0	0	0	0	0	0
Satie	Erik	Gymnopédies			1				1888.0	MS	1888.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	29	40	113	68	51	55	69	33	0	0	0	0	0	0	0	0	0	0	0	0
Satie	Erik	Gymnopédies			2				1888.0	MS	1888.0	0	0	0	0	0	0	0	0	0	0	0	4	14	25	78	47	74	45	58	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Satie	Erik	Gymnopédies			3				1888.0	MS	1888.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29	54	49	40	64	73	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
